;time_s;El_Cond_Î¼Scm-1;Concentration_mgL-1;Acc_Concentration_mgL-1;Recovery
0;0;540;0.0;0.0;0.0
1;10;540;0.0;0.0;0.0
2;20;540;0.0;0.0;0.0
3;30;540;0.0;0.0;0.0
4;40;540;0.0;0.0;0.0
5;50;540;0.0;0.0;0.0
6;60;540;0.0;0.0;0.0
7;70;540;0.0;0.0;0.0
8;80;540;0.0;0.0;0.0
9;90;540;0.0;0.0;0.0
10;100;540;0.0;0.0;0.0
11;110;540;0.0;0.0;0.0
12;120;540;0.0;0.0;0.0
13;130;540;0.0;0.0;0.0
14;140;540;0.0;0.0;0.0
15;150;540;0.0;0.0;0.0
16;160;540;0.0;0.0;0.0
17;170;540;0.0;0.0;0.0
18;180;540;0.0;0.0;0.0
19;190;540;0.0;0.0;0.0
20;200;540;0.0;0.0;0.0
21;210;530;0.0;0.0;0.0
22;220;540;0.0;0.0;0.0
23;230;540;0.0;0.0;0.0
24;240;540;0.0;0.0;0.0
25;250;540;0.0;0.0;0.0
26;260;540;0.0;0.0;0.0
27;270;550;4.650782054387889;4.650782054387889;0.21029286074800868
28;280;560;10.156556960945238;14.807339015333127;0.6695385088325402
29;290;570;15.662331867502587;30.469670882835715;1.3777369442535947
30;300;590;26.673881680617285;57.143552563453;2.5838409543476946
31;310;620;43.191206400289275;100.33475896374227;4.536803326451361
32;320;650;59.70853111996132;160.0432900837036;7.236624060564596
33;330;670;70.72008093307602;230.76337101677962;10.434350369350875
34;340;690;81.73163074619072;312.49500176297033;14.129982252810203
35;350;710;92.74318055930542;405.23818232227575;18.323519710942573
36;360;720;98.24895546586276;503.4871377881385;22.76600995641147
37;370;730;103.75473037242011;607.2418681605586;27.45745298921689
38;380;730;103.75473037242011;710.9965985329787;32.1488960220223
39;390;730;103.75473037242011;814.7513289053989;36.84033905482772
40;400;720;98.24895546586276;913.0002843712616;41.28282930029662
41;410;710;92.74318055930542;1005.743464930567;45.47636675842899
42;420;700;87.23740565274807;1092.9808705833152;49.42095142922484
43;430;690;81.73163074619072;1174.7125013295058;53.11658331268416
44;440;680;76.22585583963337;1250.9383571691392;56.56326240880697
45;450;670;70.72008093307602;1321.6584381022153;59.76098871759325
46;460;660;65.21430602651867;1386.872744128734;62.709762239043016
47;470;650;59.70853111996132;1446.5812752486954;65.40958297315625
48;480;650;59.70853111996132;1506.2898063686566;68.10940370726948
49;490;640;54.20275621340397;1560.4925625820606;70.56027165404619
50;500;630;48.696981306846624;1609.1895438889073;72.76218681348638
51;510;620;43.191206400289275;1652.3807502891966;74.71514918559006
52;520;620;43.191206400289275;1695.571956689486;76.66811155769372
53;530;620;43.191206400289275;1738.7631630897752;78.62107392979739
54;540;610;37.685431493731926;1776.4485945835072;80.32508351456454
55;550;600;32.179656587174634;1808.6282511706818;81.78014031199515
56;560;600;32.179656587174634;1840.8079077578564;83.23519710942577
57;570;600;32.179656587174634;1872.987564345031;84.6902539068564
58;580;590;26.673881680617285;1899.6614460256483;85.8963579169505
59;590;590;26.673881680617285;1926.3353277062656;87.1024619270446
60;600;590;26.673881680617285;1953.009209386883;88.30856593713871
61;610;580;21.168106774059936;1974.1773161609428;89.26571715989627
62;620;580;21.168106774059936;1995.3454229350027;90.22286838265386
63;630;580;21.168106774059936;2016.5135297090626;91.18001960541143
64;640;570;15.662331867502587;2032.1758615765652;91.88821804083248
65;650;570;15.662331867502587;2047.8381934440679;92.59641647625355
66;660;570;15.662331867502587;2063.5005253115705;93.30461491167459
67;670;570;15.662331867502587;2079.162857179073;94.01281334709564
68;680;570;15.662331867502587;2094.8251890465754;94.7210117825167
69;690;560;10.156556960945238;2104.9817460075205;95.18025743060122
70;700;560;10.156556960945238;2115.1383029684657;95.63950307868575
71;710;560;10.156556960945238;2125.294859929411;96.09874872677028
72;720;560;10.156556960945238;2135.451416890356;96.5579943748548
73;730;560;10.156556960945238;2145.6079738513013;97.01724002293933
74;740;560;10.156556960945238;2155.7645308122464;97.47648567102387
75;750;550;4.650782054387889;2160.4153128666344;97.68677853177188
76;760;550;4.650782054387889;2165.0660949210223;97.89707139251989
77;770;550;4.650782054387889;2169.7168769754103;98.1073642532679
78;780;550;4.650782054387889;2174.3676590297982;98.31765711401592
79;790;550;4.650782054387889;2179.018441084186;98.52794997476393
80;800;550;4.650782054387889;2183.669223138574;98.73824283551194
81;810;550;4.650782054387889;2188.320005192962;98.94853569625995
82;820;550;4.650782054387889;2192.97078724735;99.15882855700796
83;830;550;4.650782054387889;2197.621569301738;99.36912141775598
84;840;550;4.650782054387889;2202.272351356126;99.57941427850399
85;850;550;4.650782054387889;2206.923133410514;99.78970713925199
86;860;550;4.650782054387889;2211.573915464902;100.0
87;870;540;0.0;2211.573915464902;100.0
88;880;540;0.0;2211.573915464902;100.0
89;890;540;0.0;2211.573915464902;100.0
90;900;540;0.0;2211.573915464902;100.0
91;910;540;0.0;2211.573915464902;100.0
92;920;540;0.0;2211.573915464902;100.0
93;930;540;0.0;2211.573915464902;100.0
94;940;540;0.0;2211.573915464902;100.0
95;950;540;0.0;2211.573915464902;100.0
96;960;540;0.0;2211.573915464902;100.0
97;970;540;0.0;2211.573915464902;100.0
98;980;540;0.0;2211.573915464902;100.0
99;990;540;0.0;2211.573915464902;100.0
100;1000;540;0.0;2211.573915464902;100.0
101;1010;540;0.0;2211.573915464902;100.0
102;1020;540;0.0;2211.573915464902;100.0
103;1030;540;0.0;2211.573915464902;100.0
104;1040;540;0.0;2211.573915464902;100.0
105;1050;540;0.0;2211.573915464902;100.0
106;1060;540;0.0;2211.573915464902;100.0
107;1070;540;0.0;2211.573915464902;100.0
108;1080;540;0.0;2211.573915464902;100.0
109;1090;540;0.0;2211.573915464902;100.0
110;1100;540;0.0;2211.573915464902;100.0
